Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2015,Livestock (000s),,,Poultry,,,,167578.935,167578.935
2015,Livestock (000s),,,Goats,,,,100.7,100.7
2015,Livestock (000s),,,Farmed deer,,,,30.687,30.687
2015,Livestock (000s),,,Horses,,,,282.786,282.786
2016,Livestock (000s),,,Cattle and calves,,,,10032.569,10032.569
2016,Livestock (000s),,,Pigs,,,,4865.593,4865.593
2016,Livestock (000s),,,Sheep and lambs,,,,33942.509,33942.509
2016,Livestock (000s),,,Poultry,,,,172606.695,172606.695
2016,Livestock (000s),,,Goats,,,,103.617,103.617
2016,Livestock (000s),,,Farmed deer,,,,30.981,30.981
2016,Livestock (000s),,,Horses,,,,268.069,268.069
2000,Timber (000s green tonnes),,,,,,,8076,8076
2001,Timber (000s green tonnes),,,,,,,8126,8126
2002,Timber (000s green tonnes),,,,,,,8063,8063
2003,Timber (000s green tonnes),,,,,,,8469,8469
2004,Timber (000s green tonnes),,,,,,,8654,8654
2005,Timber (000s green tonnes),,,,,,,8670,8670
2006,Timber (000s green tonnes),,,,,,,8681,8681
2007,Timber (000s green tonnes),,,,,,,9176,9176
2008,Timber (000s green tonnes),,,,,,,8669,8669
2009,Timber (000s green tonnes),,,,,,,8928,8928
2010,Timber (000s green tonnes),,,,,,,9793,9793
2011,Timber (000s green tonnes),,,,,,,10597,10597
2012,Timber (000s green tonnes),,,,,,,10652,10652
2013,Timber (000s green tonnes),,,,,,,11497,11497
2014,Timber (000s green tonnes),,,,,,,12065,12065
2015,Timber (000s green tonnes),,,,,,,11255,11223
2016,Timber (000s green tonnes),,,,,,,11346,11324
2000,Timber (000s green tonnes),,,,,,Forestry Commission,4980,4980
2001,Timber (000s green tonnes),,,,,,Forestry Commission,4749,4749
2002,Timber (000s green tonnes),,,,,,Forestry Commission,4768,4768
2003,Timber (000s green tonnes),,,,,,Forestry Commission,4934,4934
2004,Timber (000s green tonnes),,,,,,Forestry Commission,5007,5007
2005,Timber (000s green tonnes),,,,,,Forestry Commission,4680,4680
2006,Timber (000s green tonnes),,,,,,Forestry Commission,4627,4627
2007,Timber (000s green tonnes),,,,,,Forestry Commission,4693,4693
2008,Timber (000s green tonnes),,,,,,Forestry Commission,4458,4458
2009,Timber (000s green tonnes),,,,,,Forestry Commission,5213,5213
2010,Timber (000s green tonnes),,,,,,Forestry Commission,4695,4695
2011,Timber (000s green tonnes),,,,,,Forestry Commission,4945,4945
2012,Timber (000s green tonnes),,,,,,Forestry Commission,4891,4891
